2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:27 -04:00: > mission-control@0.1.0 dev
2026-03-09 14:08:27 -04:00: > PORT=3333 next dev
2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:28 -04:00: ▲ Next.js 16.1.6 (Turbopack)
2026-03-09 14:08:28 -04:00: - Local:         http://localhost:3333
2026-03-09 14:08:28 -04:00: - Network:       http://192.168.5.41:3333
2026-03-09 14:08:28 -04:00: - Environments: .env
2026-03-09 14:08:28 -04:00: 
2026-03-09 14:08:28 -04:00: ✓ Starting...
2026-03-09 14:08:28 -04:00: ✓ Ready in 603ms
2026-03-09 14:13:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 5ms, render: 6ms)
2026-03-09 14:13:27 -04:00:  GET /api/agents/status 200 in 4ms (compile: 785µs, render: 3ms)
2026-03-09 14:13:28 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 766µs, render: 4ms)
2026-03-09 14:13:29 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:34 -04:00:  GET /api/costs/live 200 in 7ms (compile: 1952µs, render: 5ms)
2026-03-09 14:13:37 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 3ms, render: 8ms)
2026-03-09 14:13:37 -04:00:  GET /api/agents/status 200 in 11ms (compile: 6ms, render: 6ms)
2026-03-09 14:13:37 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 1034µs, render: 4ms)
2026-03-09 14:13:39 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:44 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:47 -04:00:  GET /api/agents/status 200 in 10ms (compile: 7ms, render: 4ms)
2026-03-09 14:13:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 20ms (compile: 3ms, render: 16ms)
2026-03-09 14:13:48 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 1359µs, render: 7ms)
2026-03-09 14:13:48 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 987µs, render: 5ms)
2026-03-09 14:13:49 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:54 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1019µs, render: 3ms)
